DatGeracaoConjuntoDados,AnoReferencia,MesReferencia,NomUF,SigUF,MdaPotenciaInstaladakW
4/2/2026,2006,12,ACRE,AC,141760.5
4/2/2026,2006,12,ALAGOAS,AL,7626936.5
4/2/2026,2006,12,AMAZONAS,AM,2105228.6
4/2/2026,2006,12,AMAPA,AP,273950
4/2/2026,2006,12,BAHIA,BA,8899100.9
4/2/2026,2006,12,CEARA,CE,703170
4/2/2026,2006,12,DISTRITO FEDERAL,DF,39700
4/2/2026,2006,12,ESPIRITO SANTO,ES,1165516
4/2/2026,2006,12,GOIAS,GO,8605256.4
4/2/2026,2006,12,MARANHAO,MA,247612
4/2/2026,2006,12,MINAS GERAIS,MG,18031374.95
4/2/2026,2006,12,MATO GROSSO DO SUL,MS,7324683
4/2/2026,2006,12,MATO GROSSO,MT,1917727.2
4/2/2026,2006,12,PARA,PA,7524644.2
4/2/2026,2006,12,PARAIBA,PB,50936
4/2/2026,2006,12,PERNAMBUCO,PE,2382832.7
4/2/2026,2006,12,PIAUI,PI,290010
4/2/2026,2006,12,PARANA,PR,17468332
4/2/2026,2006,12,RIO DE JANEIRO,RJ,7404536.4
4/2/2026,2006,12,RIO GRANDE DO NORTE,RN,88956
4/2/2026,2006,12,RONDONIA,RO,888626.08
4/2/2026,2006,12,RORAIMA,RR,118030.4
4/2/2026,2006,12,RIO GRANDE DO SUL,RS,6598474.6
4/2/2026,2006,12,SANTA CATARINA,SC,5159682.6
4/2/2026,2006,12,SERGIPE,SE,3174374.4
4/2/2026,2006,12,SÃO PAULO,SP,21404762.9
4/2/2026,2006,12,TOCANTINS,TO,1451910
4/2/2026,2007,12,ACRE,AC,141349.3
4/2/2026,2007,12,ALAGOAS,AL,7656836.5
4/2/2026,2007,12,AMAZONAS,AM,1904359.6
4/2/2026,2007,12,AMAPA,AP,273956
4/2/2026,2007,12,BAHIA,BA,8915075.9
4/2/2026,2007,12,CEARA,CE,730420
4/2/2026,2007,12,DISTRITO FEDERAL,DF,42120
4/2/2026,2007,12,ESPIRITO SANTO,ES,1390876
4/2/2026,2007,12,GOIAS,GO,8606664.4
4/2/2026,2007,12,MARANHAO,MA,247080.8
4/2/2026,2007,12,MINAS GERAIS,MG,18207831.95
4/2/2026,2007,12,MATO GROSSO DO SUL,MS,7361447
4/2/2026,2007,12,MATO GROSSO,MT,1984299.42
4/2/2026,2007,12,PARA,PA,8861181.2
4/2/2026,2007,12,PARAIBA,PB,61136
4/2/2026,2007,12,PERNAMBUCO,PE,2388832.7
4/2/2026,2007,12,PIAUI,PI,290010
4/2/2026,2007,12,PARANA,PR,17547298
4/2/2026,2007,12,RIO DE JANEIRO,RJ,7672987.4
4/2/2026,2007,12,RIO GRANDE DO NORTE,RN,88956
4/2/2026,2007,12,RONDONIA,RO,896881.48
4/2/2026,2007,12,RORAIMA,RR,118102.4
4/2/2026,2007,12,RIO GRANDE DO SUL,RS,6640554.6
4/2/2026,2007,12,SANTA CATARINA,SC,5538453.6
4/2/2026,2007,12,SERGIPE,SE,3175004.4
4/2/2026,2007,12,SÃO PAULO,SP,21618887.3
4/2/2026,2007,12,TOCANTINS,TO,1468447
4/2/2026,2008,12,ACRE,AC,141350.3
4/2/2026,2008,12,ALAGOAS,AL,7670436.5
4/2/2026,2008,12,AMAZONAS,AM,2044287
4/2/2026,2008,12,AMAPA,AP,273993
4/2/2026,2008,12,BAHIA,BA,8948287.9
4/2/2026,2008,12,CEARA,CE,730420
4/2/2026,2008,12,DISTRITO FEDERAL,DF,42120
4/2/2026,2008,12,ESPIRITO SANTO,ES,1410876
4/2/2026,2008,12,GOIAS,GO,8737405.6
4/2/2026,2008,12,MARANHAO,MA,254280.8
4/2/2026,2008,12,MINAS GERAIS,MG,18403127.45
4/2/2026,2008,12,MATO GROSSO DO SUL,MS,7375947
4/2/2026,2008,12,MATO GROSSO,MT,2027430.62
4/2/2026,2008,12,PARA,PA,8753570.4
4/2/2026,2008,12,PARAIBA,PB,61136
4/2/2026,2008,12,PERNAMBUCO,PE,2418564.7
4/2/2026,2008,12,PIAUI,PI,290010
4/2/2026,2008,12,PARANA,PR,17616126
4/2/2026,2008,12,RIO DE JANEIRO,RJ,7763037.4
4/2/2026,2008,12,RIO GRANDE DO NORTE,RN,147426
4/2/2026,2008,12,RONDONIA,RO,902441.48
4/2/2026,2008,12,RORAIMA,RR,117278.4
4/2/2026,2008,12,RIO GRANDE DO SUL,RS,6826128.6
4/2/2026,2008,12,SANTA CATARINA,SC,5570153.6
4/2/2026,2008,12,SERGIPE,SE,3184804.4
4/2/2026,2008,12,SÃO PAULO,SP,21802871.7
4/2/2026,2008,12,TOCANTINS,TO,1477747
4/2/2026,2009,12,ACRE,AC,142542.3
4/2/2026,2009,12,ALAGOAS,AL,7662276.5
4/2/2026,2009,12,AMAZONAS,AM,2129933
